,Benchmark,Relative hit rate,Policy,Total access,Total miss,Miss rate,Hit rate,Relative miss rate
0,600,1.0308542071038975,slru,5987.0,5357.0,0.8947720060130282,0.10522799398697177,0.9964924002004343
1,619,1.0021584189527937,slru,8528434.0,4801004.0,0.5629408634691903,0.43705913653080974,0.9983306354243868
2,627,1.0013840329872867,slru,995015.0,484209.0,0.4866348748511329,0.5133651251488671,0.9985440845501754
3,644,0.8554443660786665,slru,19959.0,19429.0,0.9734455634049802,0.02655443659501979,1.0046310050090828
4,602,1.0217269207061912,slru,938399.0,925466.0,0.9862180160038534,0.013781983996146628,0.9997029202066974
5,620,0.9976927352874664,slru,1826412.0,902353.0,0.4940577481970114,0.5059422518029886,1.0023738516653673
6,628,0.9937895223516842,slru,848264.0,353394.0,0.4166085086718286,0.5833914913281714,1.0088283557503315
7,648,,slru,3.0,3.0,1.0,0.0,1.0
8,603,1.0081935345482496,slru,19558.0,10615.0,0.5427446569178853,0.45725534308211474,0.9931997136721546
9,621,0.6898913043478261,slru,2875.0,2853.0,0.9923478260869565,0.0076521739130434785,1.0034782608695652
10,631,0.9991611718136055,slru,48750.0,27694.0,0.5680820512820512,0.4319179487179487,1.0006387118168059
11,649,1.0004101039866604,slru,1753991.0,877396.0,0.5002283364053749,0.49977166359462505,0.9995906060439556
12,605,0.9868643079277593,slru,2282959.0,974298.0,0.4267698193441056,0.5732301806558944,1.0182039504072684
13,623,0.9862888726075654,slru,389519.0,114964.0,0.29514349749306196,0.7048565025069381,1.0343399634370525
14,654,0.9897594512367902,slru,21638.0,15751.0,0.727932341251502,0.27206765874849803,1.00388205934005
15,607,0.9956048337033032,slru,1093051.0,767820.0,0.7024557866009912,0.29754421339900883,1.0018734136555911
16,625,1.0171512508238827,slru,95354.0,70129.0,0.7354594458543952,0.2645405541456048,0.9939713833230572
17,641,1.0038290420827536,slru,104089.0,59692.0,0.5734707798134289,0.42652922018657113,0.9971709703144302
18,657,0.9944209078600852,slru,276908.0,106082.0,0.3830947462695191,0.6169052537304809,1.0091168967816586
19,600,1.0,lru_bp,5966.0,5357.0,0.8979215554810593,0.10207844451894066,1.0
20,619,0.8337218838726083,lru_bp,8513055.0,5417700.0,0.6363990365385869,0.3636009634614131,1.128602835146301
21,627,0.6212352183186299,lru_bp,994415.0,677714.0,0.6815202908242535,0.31847970917574653,1.3984366720770982
22,644,1.0,lru_bp,20102.0,19478.0,0.9689583126057109,0.031041687394289124,1.0
23,602,1.632161201106282,lru_bp,938178.0,917523.0,0.9779839220275897,0.022016077972410352,0.9913562385807808
24,620,0.9661333275155329,lru_bp,1825498.0,931117.0,0.510061911872815,0.48993808812718503,1.034844054278203
25,628,0.9968378501610182,lru_bp,854739.0,354562.0,0.41481902662684167,0.5851809733731583,1.0044950783651811
26,648,,lru_bp,3.0,3.0,1.0,0.0,1.0
27,603,0.9828603859250851,lru_bp,19425.0,10766.0,0.5542342342342342,0.44576576576576576,1.0142251530852566
28,621,1.0,lru_bp,2885.0,2853.0,0.9889081455805893,0.011091854419410746,1.0
29,631,0.9912705190245754,lru_bp,48760.0,27866.0,0.57149302707137,0.42850697292863005,1.0066469185752474
30,649,0.9852199134307589,lru_bp,1757805.0,892643.0,0.5078168511296759,0.49218314887032405,1.0147544971716473
31,605,0.9999607755281537,lru_bp,2282310.0,956659.0,0.41916260280154755,0.5808373971984524,1.0000543587910187
32,623,0.8742995545885589,lru_bp,409028.0,153458.0,0.37517724947925324,0.6248227505207468,1.3148208441146734
33,654,0.9996650477306984,lru_bp,21722.0,15753.0,0.7252094650584661,0.27479053494153394,1.0001269760650118
34,607,0.9909788492271895,lru_bp,1095199.0,770843.0,0.7038382978801113,0.29616170211988874,1.0038452121958688
35,625,0.9884955035242649,lru_bp,94917.0,70515.0,0.7429122285786529,0.2570877714213471,1.004043798322678
36,641,0.9952403617325083,lru_bp,103838.0,59927.0,0.5771201294323851,0.42287987056761495,1.0035165865666393
37,657,0.9928813224714468,lru_bp,277615.0,106618.0,0.3840498532139834,0.6159501467860166,1.011632761499924
38,600,1.0585839994706991,slru_with_bp,6006.0,5357.0,0.891941391941392,0.10805860805860806,0.9933399933399933
39,619,0.7921002688922933,slru_with_bp,8500814.0,5564216.0,0.654550964178254,0.345449035821746,1.1607938282517043
40,627,0.5304282461241803,slru_with_bp,996260.0,725350.0,0.7280729929937968,0.2719270070062032,1.4939598821335986
41,644,0.8782909082746502,slru_with_bp,19990.0,19445.0,0.972736368184092,0.027263631815907952,1.0038990899084412
42,602,1.6769234748557926,slru_with_bp,938290.0,917066.0,0.9773801276790758,0.022619872320924234,0.9907441883407543
43,620,0.963422553360742,slru_with_bp,1827251.0,934523.0,0.5114365787732501,0.4885634212267499,1.0376330605447264
44,628,0.9902952480412434,slru_with_bp,850471.0,356058.0,0.41865977793481496,0.5813402220651851,1.0137955577030162
45,648,,slru_with_bp,3.0,3.0,1.0,0.0,1.0
46,603,0.9900984148684213,slru_with_bp,19548.0,10770.0,0.550951503990178,0.449048496009822,1.008217895902893
47,621,0.9690859049930652,slru_with_bp,2884.0,2853.0,0.989251040221914,0.010748959778085992,1.0003467406380029
48,631,0.9903621324914993,slru_with_bp,48751.0,27880.0,0.5718857049086172,0.42811429509138277,1.0073385944420266
49,649,0.9851554873663834,slru_with_bp,1754037.0,890786.0,0.5078490362518009,0.49215096374819917,1.0148188116924155
50,605,0.9897360158451729,slru_with_bp,2284820.0,971281.0,0.4251017585630378,0.5748982414369622,1.0142242264440955
